datasetkey,citations
4f2bbc27-03f2-46a2-a461-9995a8a5a5fd,0
38d335f3-e36b-4306-bd0e-ff291741256c,0
72371c2b-2691-47a8-a70f-153753b63ec0,0
0f271738-2361-416a-846b-0a18a3493ef0,0
21975627-96b7-45c7-9c80-0a73a850169a,0
50124bbf-9113-492c-b240-bbfce4a51a60,0
0097a2e6-0eaa-4cb0-ad6b-ff2065a0e35c,0
a498fa04-36a2-403f-9014-d3f75231e5e1,0
82c38fc7-6086-40ab-a3d0-e6b963fe52ff,0
b73d7e41-4f64-45ff-8ff2-694496b1b3ac,0
24815e79-a8bb-4a54-a853-535cbdcb4714,0
a3f017a1-c6e0-43ee-960c-316349dbe2e5,0
6b27f85c-8d1b-4a8e-9715-abe8d9ddfc47,0
14ec50b9-9afa-4b91-94c8-c08bb0dfc7d5,0
5f9cac91-3b5d-41df-8200-883a68aa2a17,0
78f98484-a7ef-4e6c-8b51-7464f1209591,0
cad2585a-731d-4319-9d3d-b8b29ffb09a8,0
8cbc947b-baf7-4fb2-a6bd-fc40d0355ce6,0
c257bd77-512e-42d7-b54b-86f8080eafc5,0
6b168b3a-8c87-4e23-a994-49812c3de4dc,0
3fba4968-0ad6-433b-b8bc-468497567f14,0
322737dd-e6d7-4f3f-8493-b466ffb6dcec,0
ca02d2d2-14f3-4f34-838d-7d559bed1185,0
e2b0bf98-d506-4a6b-b8bb-451f538b7437,0
87df8d93-c507-4e88-b704-56d8760bad54,0
e08d9a49-2ad9-47de-b8d8-8d5efcf4a183,0
ee894f1d-22fb-42fc-a681-27e449880366,0
b5e26f14-c003-4c43-8e80-4287bbfb0cf1,0
12f0a851-62f6-464d-8da9-7c92e1ed4ec7,0
e94cb3b1-3c64-422d-a575-c8a12af50dd0,0
e40070cf-6626-4cd0-8e85-cfe6067aecb0,0
0580c96f-63d3-4c6a-ae8a-64d6ef9f5fd3,0
a414b648-a007-4ade-b993-b575013c5c70,0
4d236e9c-fa04-4a94-9356-382c9f7c84c0,0
8d773885-955d-44e2-b36d-ee45e4b38385,0
0e78be95-ea62-4470-8f90-d17ce4ffd47e,0
e4d2c425-4596-487c-8c4f-b09330b48203,0
cafbd6bc-9a54-4733-a377-8f403bef154c,0
470b137b-05b5-468a-b37e-6a315108ecc1,0
bca5b47a-67e3-46be-adf0-448a95f54e37,0
9bac0c5b-7161-409b-ab96-c3bf3f7d7ac1,0
d0122ed5-6ed8-430e-86ee-b4d45a6bc2bb,0
9a038753-d004-4647-9f2e-5c7872c35985,0
f4997f4d-551d-4860-81ba-ec43bfd7c029,0
c74533bb-abf0-4737-bd67-87c453f138f1,0
248f9592-5596-42e1-9077-f7b069aa361f,0
22182930-5d11-458a-bb9f-5263a6187d07,0
aff5b97f-51c0-45ab-ac1c-07ad15b79456,0
4e1384ef-ef30-4f65-95df-aa5eb3f09571,0
ba01376a-155c-43fb-9dc7-d3edae627529,0
ead95ba6-be5d-41bd-bdbf-18e73cd3a7eb,0
42b7b1e6-fc7a-4296-94f5-95a358d3d34b,0
3ab120b5-5595-44d2-b3cd-349601ab662a,0
bc9ca8be-23d8-427d-a8f4-32908e35d578,0
cd8ba8a5-8504-4c96-a097-2d359247f7bc,0
e95dc0f3-4897-4a17-aaf4-ce56c28f49f0,0
9322a9db-0fb9-4136-a366-3bde45d1220e,0
193fbb43-e457-4cb6-9683-30868f50f7c3,0
74aa32b8-fb79-4925-b474-f33938b3f57c,0
69c434f8-762e-4e43-bc29-d0da90994625,0
bb6f5628-d3ac-4a12-b3b1-24ab27e112f5,0
5f6ec74f-acfe-4eea-98fb-9576e2305f20,0
612f61e4-97bf-4cfc-ac43-9370854acbc1,0
605cdafa-60b6-48fb-a80d-4ed0428d2f33,0
d8534224-63f8-4837-bff7-f3639a531b3d,0
91cacb4e-dc01-4157-af9a-ebdc303ce86f,0
d40d94a8-75f5-486c-a377-6c1c7ba067dc,0
b5ee7b41-2baf-4f34-8695-a79143833238,0
cc326faf-0b27-47a8-b9f4-17b7c9c13f00,0
a71c3da3-4cf3-48f2-a468-f2c0b3189db2,0
46c5c4e6-492c-42c0-a8cd-8ffaaec57d8c,0
3e00ef13-3995-4f38-b69b-6df75b6ee2e5,0
7c3990d1-9460-4a35-9648-9941e9bc6de8,0
7e32cdfa-1a01-4a80-8b35-3c3e6d946e38,0
41bd81a8-8d16-41cb-950f-8fab1660f845,0
2d048e59-b20d-4f30-9b4b-1f18303f318b,0
1aa43d9b-a9da-41f9-b4a3-70b84c3cc978,0
3d36e1b2-e633-4b18-ac9c-fd7ec92474f5,0
c8d52e0f-8db2-445d-b087-810821e55bf9,0
bea5bdb9-5fd3-464d-a78d-fb4c02905db0,0
4b3b7a51-decf-422f-9f6d-d6a5850d2261,0
a6f10916-99f2-4d28-8fe6-cf38cde04291,0
f8eb471f-471a-4b29-8a58-ef3da4eb2c87,0
ba16ea95-0ab8-4669-b501-cddb7326e00e,0
5384e263-638f-4bed-be42-801395516aef,0
1f954e21-5266-43a5-a509-0911df30ac03,0
3dd13da9-cccb-45a4-862c-d0ffcf9c21a9,0
b373394d-f4da-4c07-a55b-9f702cfb0f0f,0
c3d7ef5c-99ce-4c62-9cf7-fd7d43f2003e,0
79240b21-671e-4ede-9d65-aa6b735230fd,0
ce8285ae-97a7-4c14-9a88-4b4a490a0555,0
90a5be66-f51f-4a7e-9ffe-3137c7d3e0c3,0
17d66199-d8d3-431a-a8c4-9ff9cde9425c,0
9b2d84ae-218e-4cb1-88f2-76f1840067e9,0
a84dce14-406e-405b-859c-00224bc9a26f,0
ba73da02-0b81-4996-ace8-dbb9b35d23eb,0
ccc2db5d-3236-479b-8c61-4828a8736e62,0
08258b2a-72c1-4f13-a965-a986e4939e11,0
a82f2c7b-5b74-4217-a206-76d289763a44,0
33e2d3ce-167e-4c70-a74a-12a84710a1e6,0
b37dedc0-ed41-4214-9c31-2fc7c27b63e3,0
1af7b746-b98a-4227-9a96-b3ef26200be2,0
482193ad-9476-4aa0-bd03-1001e6156506,0
eae2652b-e985-466c-acbb-c5dbf7964914,0
7e648534-279c-4a44-b4e7-e287f495985e,0
edd76a7a-64e0-4008-a741-105ecd67e339,0
66913c83-3b37-4513-b319-86872fe46d0e,0
1934d198-9912-471c-b967-ee69e33185af,0
529338ac-ef1b-4c01-93da-857bc2a346dc,0
26c9cff0-0389-4c91-bfce-fade8eb76f67,0
30465986-4064-48bc-a905-085069b65f98,0
cd096ec0-a8a0-4c65-92cc-48b00fb934ce,0
c7880314-66e6-4f8e-8ffe-ff13cbb6a9a3,0
f1c297ca-528e-4e2a-a014-3664f345258f,0
14cdab6f-399c-4e87-b45f-ab80753a2563,0
ee9eca00-798b-4b2c-8ee6-39ac472e450e,0
578272bd-a696-4065-b739-dbf6966706f8,0
188c916f-80cc-46b1-9d58-48a8d3463102,0
d583faf3-4509-420e-82a2-a0fd31783302,0
4bd957a1-4346-4339-bb01-293e2f3c31f1,0
b212e93b-7800-4b05-8e2d-5f26798f5002,0
20958e7a-dd5a-4363-afc3-b1cd8186cf46,0
19beaff6-3978-42b8-88b8-45ab7fa9c232,0
b9b0ed44-7490-48f1-8cc1-cee431f5d1ff,0
b9bcf9cd-0cb9-4886-9740-0b8d9eb33213,0
990a1cfa-22d6-41fc-aab9-2becbdf12d81,0
be2fd297-7a54-4bca-af14-9cd43fa51852,0
4ed37bf0-64aa-4501-849d-2d8436e391b1,0
572da830-2f0e-487c-8248-68830bb75378,0
8f336572-7611-434a-bd84-b9f85b1879f9,0
27d46263-d2cf-4bb6-b015-43c435995fd1,0
6fac61cc-5cfa-4dec-9375-13fadb788534,0
60755c87-be76-4391-bed2-9b9e3ae180d2,0
b40554b7-a1fe-4d4c-aa2e-c6b80d99f7a0,0
48b67072-8da1-4ad1-b187-5eb62acc91fe,0
ba9984d8-d982-4fe6-b81c-a7585790034a,0
3d5828a9-6095-4e3d-b4d7-5a1e9542bcda,0
5c26c99a-2324-4ff9-ae49-d6992f6328b4,0
0e06c542-08b9-4f44-81b5-a36a6c0561fe,0
73740f1a-188c-49fe-a135-5f9b874d1764,0
d53c2985-17f2-40f0-a70b-d6d1f0ba9d9a,0
43a886b0-89af-4040-9d32-476bf25c6e2a,0
1c4e50f7-a4d3-4479-bb37-c26b1279bc0d,0
8841c556-aaf5-487b-a913-2126b523e3ea,0
711a9580-5001-45c4-a403-7d382204da6b,0
cedd53a8-c054-4163-a32c-11df912227ae,0
0b281201-10b2-4758-9cd1-efec708be7af,0
698325eb-16e9-4345-8020-fd89f81dac51,0
41094690-06f2-482d-a9e3-a1791295e6ed,0
751112f9-dacb-4aa7-b6dd-94b531bd95b7,0
f5e0d2a6-e2ec-4631-aec4-6e1c0d009624,0
7f57e8d4-11cd-4d5a-970c-b36c131371d5,0
e1fd4493-a11a-438d-a27f-ca3ca5152f6b,0
830a425a-3e5d-4796-bc0c-269630f3187c,0
e4d3fc77-1d94-495b-96ff-3fe8b8f7a3bd,0
498342a3-9699-4be8-9356-dfa544681fae,0
5a577cf9-0cb0-406a-9a06-d43f9340ed01,0
b7273c8d-e5fe-4153-8210-9c966e935fa0,0
29286fb3-2f11-4e81-aa76-e351ebb5a14e,0
c35fafc4-2f83-4a5d-a4fd-cb65b6e7ac7a,0
1c694c7e-3d35-4520-b398-6189a61d1430,0
cc5bbbd6-f424-4ff5-8f2f-88b7531c0a55,0
e380e3c5-f130-4001-a53b-d53068ffbd2b,0
91025c69-111a-45c0-8440-59cb9efbdff7,0
2aa02cf8-c402-412c-9ad1-585e1e185bef,0
0e9c8278-06c3-455d-902c-0bb6cc4fa11a,0
c561baa1-9f1c-460a-8efe-e6f7771e3a40,0
3662247b-86f0-41de-82aa-f6b5e1712ed2,0
781747f1-ebab-4eb0-beaf-1f88b3cfd65d,0
029ca2ac-d525-4dd0-bfc5-288102358341,0
565158dd-9feb-40a8-bb50-4830be6bbc5d,0
36afc129-759b-4054-a708-6d42a813d155,0
57a241fd-5993-4064-b152-b00ee0a46e2a,0
b342ae04-f7fc-4120-969f-4353410d6baa,0
39cc6284-8ad7-47f0-bf5d-2122174905ed,0
74eeacaa-1f72-475c-878b-c2d3ba1265aa,0
24c56165-469b-426a-98bb-2cbdef596680,0
9d826523-76cd-452b-8a02-41b6073722dd,0
008dafd5-32fd-45e7-8593-ed53b2df0b41,0
49c0d651-9601-41ef-a20b-d599e54f07b6,0
9f9fc94b-4863-4ab2-9628-e5d6d3a71fc5,0
727a55a5-b5ac-454f-acdb-3fa60ca50653,0
d73722e3-4a43-4fc8-9eeb-d6cb63b9aead,0
4fa43229-ab7a-4bae-a760-12460a37f5c6,0
1b5afc19-0494-486b-bbb1-334cc575cd8c,0
be1b10c6-29eb-4879-a55d-62cb89fa8512,0
9b39760c-6b42-468e-9059-9f1a5d65f490,0
065c4d4a-eead-44a4-ac94-19df2a0a47ad,0
5da288d0-94ca-4355-a438-11890b726f5b,0
d71e908c-f944-4fdd-9872-178754a00805,0
e87e0415-bdb2-45eb-8954-b6b4454e1852,0
a868444f-329e-47f7-b3e6-1297a0dfbcb7,0
a387a0b3-7cf8-4d73-8851-eccbd882e16d,0
6790c5bd-2f80-4161-bb6f-2330f95620ed,0
6e84f4d6-64d0-408b-889b-e270ab6be3a7,0
7fbb4285-59e7-49e6-a890-df9610e94455,0
949c404c-1722-4895-ae14-68e8243f521f,0
